"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Code preview is not available","1380","Deve buscar os usuário especifico por id","","Mon Aug 04 15:51:42 BRT 2025","passed","Mon Aug 04 15:51:43 BRT 2025","GET /usuarios/{id}","tests\getUserById.test.js","",""
"Code preview is not available","1480","Deve criar um novo usuário com sucesso","","Mon Aug 04 15:51:42 BRT 2025","passed","Mon Aug 04 15:51:43 BRT 2025","POST /usuarios","tests\createUser.test.js","",""
"Code preview is not available","1398","Deve atualizar um usuário com sucesso","","Mon Aug 04 15:51:42 BRT 2025","passed","Mon Aug 04 15:51:43 BRT 2025","PUT /usuarios/{id}","tests\putUserById.test.js","",""
"Code preview is not available","1474","Deve buscar os usuários com sucesso","","Mon Aug 04 15:51:42 BRT 2025","passed","Mon Aug 04 15:51:43 BRT 2025","GET /usuarios","tests\getUser.test.js","",""
"Code preview is not available","311","Deve deletar um usuário com sucesso","","Mon Aug 04 15:51:42 BRT 2025","passed","Mon Aug 04 15:51:43 BRT 2025","DELETE /usuarios/{id}","tests\deleteUserById.test.js","",""
